numero_amostra,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z,data_hora
81,0.5359,-0.8579,0.7439,15.7252,-1.0534,-17.5267,26/07/2024-18:00:48
82,0.6021,-0.7996,0.7356,-76.8779,30.8550,-3.3053,26/07/2024-18:00:48
83,0.4490,-0.9844,0.4980,-78.4580,72.5267,17.9847,26/07/2024-18:00:48
84,0.5237,-0.9717,0.4465,0.4122,43.5725,-69.7023,26/07/2024-18:00:48
85,0.4138,-1.7852,-0.5222,180.1221,-29.5114,-71.0840,26/07/2024-18:00:48
86,0.7847,-0.5020,0.7893,166.9313,-180.3282,-157.9084,26/07/2024-18:00:48
87,0.7517,-0.3464,0.6152,-33.7252,-137.8015,-6.3511,26/07/2024-18:00:48
88,0.8191,-0.2158,0.4702,15.3893,-201.2672,-108.8015,26/07/2024-18:00:48
89,1.0020,0.0815,0.3320,38.0229,29.0763,-138.2290,26/07/2024-18:00:48
90,1.1206,-0.0300,0.1543,59.5496,-80.6183,-15.3511,26/07/2024-18:00:49
91,0.9622,-0.0178,0.2451,8.6183,38.2519,38.1450,26/07/2024-18:00:49
92,1.3245,0.0066,0.4580,-133.6107,250.1298,-29.7252,26/07/2024-18:00:49
93,0.8088,-0.2683,0.7803,-19.1450,-110.3206,-65.7023,26/07/2024-18:00:49
94,0.5789,-0.4241,0.6331,-23.2061,-18.9084,26.0611,26/07/2024-18:00:49
95,0.4761,-0.1553,0.5752,117.6107,172.0611,92.9847,26/07/2024-18:00:49
96,0.5193,-0.6345,0.8359,-49.1832,-38.1985,-72.9084,26/07/2024-18:00:49
97,0.4097,-0.5742,0.6306,78.2977,-31.0687,-43.9847,26/07/2024-18:00:49
98,0.5776,-0.5349,0.7214,90.2137,-5.9771,-38.8626,26/07/2024-18:00:49
99,0.2861,-0.3835,0.8152,-95.1985,-39.3664,25.1374,26/07/2024-18:00:49
100,0.3274,-0.6143,0.8086,56.1145,101.6718,57.7939,26/07/2024-18:00:50
101,0.3787,-0.3943,1.2566,208.6718,220.3130,-47.1603,26/07/2024-18:00:50
102,-0.0164,-0.1658,1.2288,135.0534,250.1298,14.9466,26/07/2024-18:00:50
103,-0.5518,0.2007,0.8149,-14.6336,82.1374,14.1374,26/07/2024-18:00:50
104,-0.5271,0.2134,0.8882,88.3588,250.1298,-98.3664,26/07/2024-18:00:50
105,-0.7373,0.2148,0.4810,43.6336,250.1298,-50.4198,26/07/2024-18:00:50
106,-0.8462,0.1311,0.1953,-30.8092,93.5649,-41.2519,26/07/2024-18:00:50
107,-0.7815,0.1333,0.0774,-68.5038,38.6565,2.7863,26/07/2024-18:00:50
108,-1.0742,0.1404,-0.1711,-34.7863,91.4427,27.4656,26/07/2024-18:00:50
109,-0.9607,0.1853,-0.4709,41.7786,193.3664,37.6107,26/07/2024-18:00:50
110,-0.9097,0.2332,-0.5029,-0.0458,7.7939,14.4809,26/07/2024-18:00:51
111,-0.9648,0.2949,-0.3374,-100.9389,-178.0229,-12.6870,26/07/2024-18:00:51
112,-1.0522,0.2859,0.0574,-150.9618,-250.1374,-46.9389,26/07/2024-18:00:51
113,-0.8118,0.1499,0.4922,-73.2595,-249.0992,-77.6565,26/07/2024-18:00:51
114,-0.4514,-0.0359,0.6958,-44.7710,-157.2977,-13.5344,26/07/2024-18:00:51
115,-0.1528,-0.2727,0.9280,-96.8092,-241.9924,-43.9771,26/07/2024-18:00:51
116,0.3120,-0.3423,0.9985,-14.7863,-95.8168,-31.5344,26/07/2024-18:00:51
117,0.4077,-0.6814,0.7053,-44.7099,-15.4656,30.6565,26/07/2024-18:00:51
118,0.1936,-0.0901,0.9736,49.6794,27.6183,-35.6031,26/07/2024-18:00:51
119,0.1201,-0.6445,0.9270,-152.0229,-8.1374,91.1069,26/07/2024-18:00:51
120,0.1895,-0.5105,0.3613,-250.1374,-71.3588,51.9008,26/07/2024-18:00:52
121,0.6313,-1.0667,-0.1555,-92.4809,-14.5115,-19.0153,26/07/2024-18:00:52
122,0.2905,-0.8547,-0.7981,-14.4580,36.3511,10.4046,26/07/2024-18:00:52
123,0.2341,-0.7771,-0.2192,73.5191,47.5649,-2.1374,26/07/2024-18:00:52
124,0.2969,-0.7209,-0.7439,200.2977,18.8244,59.5954,26/07/2024-18:00:52
125,0.3213,-1.0166,0.2253,250.1298,70.5954,-12.9695,26/07/2024-18:00:52
